MONTH;NO;X1;X2;X3;X4Z1;X5Z3;X6Z4;Z2;Z5;Z6;Z7;Y
02.1998;1;-0.1000000000000014;0;5.5;0;24;0;-2.700000000000003;9.5;0.5;5.8;0.00625
03.1998;1;20.6;0;5.5;0.949;24;0;0.9000000000000021;9.5;0;10.8;0.0125
04.1998;1;18.7;0;5.5;-0.5;23;0.09999999999999998;-2.120000000000001;9.5;-0.9;10;0.0125
05.1998;1;-8.799999999999998;0;5.5;0.219;21.5;0.1499999999999999;0.5;9.5;-1.35;11;0.0125
06.1998;1;-1.899999999999998;0;5.5;0.25;21.5;0;-0.3500000000000014;9.5;0;1.8;0.00625
07.1998;1;-4.600000000000001;0;5.5;-0.449;19;0.75;-0.3500000000000014;9.5;-1.75;1.6;0.01
08.1998;1;5.399999999999999;0;5.5;0.2699999999999996;19;0;-0.7999999999999971;9.5;0;16.5;0
09.1998;1;3.399999999999999;0;5.5;0.199;18;0;-0.75;9.5;-1;7.6;0.0075
10.1998;1;-23.1;0;5;0.3500000000000014;17;0;-0.3999999999999986;9.5;-1;-0.7;0
11.1998;1;-15.7;0;4.75;0.199;17;0;-0.1799999999999997;9.5;0;-8;0.01
12.1998;1;-19.8;-0.12;4.75;-0.328;15.5;0.1499999999999999;-0.5299999999999976;9.5;-1.35;-10.6;0.01
01.1999;1;11.2;-0.15;4.75;0.0996;13;0.625;-0.7000000000000011;8.25;-1.875;-11;0
02.1999;1;31.50000000000001;0;4.75;0.199;13;0;-0.2300000000000004;8.25;0;-0.6;0
03.1999;1;41;0;4.75;0.2200000000000006;13;0;0.1199999999999992;8.25;0;2.4;0
04.1999;1;36.4;-0.25;4.75;0.2699999999999996;13;0;0.2100000000000008;7.2;0;0.6;0
05.1999;1;33.5;-0.25;4.75;0.3000000000000007;13;0;-0.129999999999999;7.2;0;4.5;0.00375
06.1999;1;28.3;0;4.75;0.279;13;0;0;7.2;0;0.9;0
07.1999;1;17.3;0;5;0.3499999999999996;13;0;-0.009999999999999786;7.2;0;-2.3;0.005
08.1999;1;23.1;0;5;0.279;13;0;-0.03000000000000114;7.2;0;0.2;0.0125
09.1999;1;18.8;0;5.25;0.9000000000000004;14;-0.1111111111111112;0.5400000000000009;7.2;0.8888888888888889;1.7;0.00875
10.1999;1;-9.300000000000001;0;5.25;1.699999999999999;14;0;0.8200000000000002;7.2;0;0.5;0
11.1999;1;-18.8;0.25;5.5;2.920000000000002;16.5;0;3.220000000000001;7.2;2.5;-1.7;0.01125
12.1999;1;-6.9;0.25;5.5;2.199999999999999;16.5;0;-1.050000000000001;7.2;0;-9.699999999999999;0
01.2000;1;3.499999999999999;0;5.5;0.629;16.5;0;-1.879999999999999;6.1;0;-2.7;0
02.2000;1;28.9;0.125;5.75;0.6000000000000014;17.5;0;-0.1699999999999982;6.1;1;7.3;0.0125
03.2000;1;10.1;0.25;6;0.3200000000000003;17.5;0;0.1499999999999986;6.1;0;9.9;0.01
04.2000;1;5.299999999999997;0.125;6;0.469;17.5;0;-0.2199999999999989;6.1;0;10.8;0.0125
05.2000;1;-1.900000000000002;0.125;6.5;0.379;17.5;0;-0.2300000000000004;6.1;0;8.9;0
06.2000;1;-5.300000000000001;0.375;6.5;0.699;17.5;0.4;-0.07000000000000029;6.1;0.4;9.5;0
07.2000;1;-9.700000000000002;0.25;6.5;0.399;17.5;0;0.2699999999999996;6.1;0;4.8;0
08.2000;1;-4.5;0;6.5;1.170000000000002;19;-0.1499999999999999;0.7800000000000011;6.1;1.35;9.4;0.0075
09.2000;1;-3;0.125;6.5;0.3000000000000007;19;0;0.05999999999999873;6.1;0;8.9;0.00875
10.2000;1;-12.7;0.25;6.5;0.399;19;0;0.75;6.1;0;6.5;0.01
11.2000;1;-26;0.125;6.5;0.3000000000000007;19;0;-0.6000000000000014;6.1;0;0.9;0.00125
12.2000;1;-29.6;0;6.5;0.5;19;0;0.03000000000000114;6.1;0;-4.900000000000001;0
01.2001;1;-23.2;0;6;0.199;19;0;0;7;0;-3.2;0.0125
02.2001;1;-4;0;5.5;-0.5;18;-0.1000000000000001;-0.8500000000000014;7;-1.1;-2;0
03.2001;1;4.399999999999999;0;5;-1.25;17;0.5;-0.9500000000000029;7;-0.5;-1.6;0
04.2001;1;1.199999999999999;0;4.5;0.1000000000000014;17;0;0.25;7;0;-1.3;0
05.2001;1;-6.199999999999999;-0.125;4;0.6000000000000014;17;-0.8;0.09999999999999786;7;-0.8;-4.099999999999999;0
06.2001;1;-9.899999999999999;-0.125;3.75;0;15.5;-0.05000000000000004;0.02000000000000313;7;-1.55;-7.8;0
07.2001;1;-7.600000000000001;0;3.75;0.5;15.5;0;0.1000000000000014;7;0;-10.2;0.01125
08.2001;1;-4.400000000000002;0;3.5;0.1500000000000003;14.5;0.09999999999999998;0.09999999999999786;7;-0.9;-7.8;0
09.2001;1;-5.599999999999999;-0.375;3;0.75;14.5;0;-0.09999999999999965;7;0;-9.5;0
10.2001;1;-17.6;-0.375;2.5;0.3000000000000007;13;0.1499999999999999;-0.3000000000000007;7;-1.35;-14.9;0
11.2001;1;-7.4;-0.25;2;0.1500000000000003;11.5;0.75;-1.949999999999999;7;-0.75;-16.1;0
12.2001;1;-6.300000000000001;-0.25;1.75;1.32;11.5;0;1.25;7;0;-20.5;0
01.2002;1;15.9;0;1.75;-0.0996;10;0.3000000000000001;0.25;5;-1.2;-13.8;0
02.2002;1;7;0;1.75;0.1500000000000003;10;0;-1.85;5;0;-11.5;0
03.2002;1;10.5;0;1.75;0.3000000000000007;10;-0.3;0.2100000000000008;5;-0.3;-8.1;0
04.2002;1;11.6;0;1.75;0.05000000000000071;9.5;-0.05555555555555558;-0.2800000000000011;5;-0.5555555555555556;-5.5;-0.00625
05.2002;1;1.699999999999999;0;1.75;0.1500000000000003;9;-0.02500000000000002;-0.4600000000000009;5;-0.525;-4.400000000000001;-0.0075
06.2002;1;-6.099999999999998;0;1.75;0.05000000000000071;8.5;-0.05000000000000004;-0.1500000000000003;5;-0.5500000000000001;-6.7;-0.005
07.2002;1;5.199999999999999;0;1.75;0.4000000000000004;8.5;-0.2;-0.1799999999999997;3;-0.2;-5;-0.00125
08.2002;1;4.599999999999998;0;1.75;-0.08000000000000008;8;-0.05555555555555558;-0.1799999999999997;3;-0.5555555555555556;-3.2;0.00375
09.2002;1;-0.5;0;1.75;0.0391;7.5;0.1666666666666667;-0.2800000000000011;3;-0.3333333333333333;-1.9;0
10.2002;1;-11.2;0;1.75;0.03000000000000025;7;0.25;-0.3899999999999997;3;-0.25;-3.5;0
11.2002;1;-6.5;0;1.25;-0.3300000000000001;6.75;0.02499999999999999;-0.5499999999999998;3;-0.225;-3.4;-0.00875
12.2002;1;0;-0.25;1.25;0.5;6.75;0;0.75;3;0;-3.4;-0.00125
01.2003;1;26.4;-0.25;1.25;-0.0899;6.5;-0.04999999999999999;-0.7399999999999994;3;-0.3;2.5;-0.00875
02.2003;1;7.799999999999998;0;1.25;-0.2000000000000002;6.25;0.02777777777777779;-0.3700000000000001;3;-0.2222222222222222;2.9;-0.01125
03.2003;1;0.8000000000000042;-0.125;1.25;-0.1500000000000003;6;0.07500000000000001;-0.1699999999999999;3;-0.175;4.3;0
04.2003;1;-5.800000000000004;-0.125;1.25;-0.0996;5.75;0.02777777777777779;-0.1999999999999993;3;-0.2222222222222222;3.1;0
05.2003;1;-3.5;0;1.25;-0.2000000000000002;5.5;0.125;-0.1999999999999993;3;-0.125;4.8;0
06.2003;1;-5.399999999999999;-0.25;1;-0.1500000000000003;5.25;0.125;-0.1699999999999999;3;-0.125;2.6;-0.005
07.2003;1;0;-0.25;1;0;5.25;0;0;3;0;2.6;0
08.2003;1;7.100000000000001;0;1;-0.1699999999999999;5.25;-0.1111111111111111;-0.1600000000000002;3;-0.1111111111111111;9.800000000000001;0
09.2003;1;-4.099999999999999;0;1;-0.0996;5.25;0;-0.04000000000000004;3;0;6.3;0
10.2003;1;-11.8;0;1;0.1299999999999999;5.25;0;0.08999999999999986;3;0;5.099999999999999;-0.00625
11.2003;1;-21.6;0;1;0.0899;5.25;0;-0.0600000000000005;3;0;3.9;-0.00875
12.2003;1;-21.6;0;1;0.1500000000000003;5.25;0;0.009999999999999786;3;0;3.9;0
01.2004;1;-14.2;0;1;0.0498;5.25;0;-0.04999999999999983;2.5;0;8.300000000000001;0
02.2004;1;10.9;0;1;0.00979;5.25;0;0;2.5;0;12.6;-0.0125
03.2004;1;13.9;0;1;0.07000000000000029;5.25;0;0.009999999999999786;2.5;0;16.8;0
04.2004;1;8.5;0;1;0.1699999999999999;5.25;0;-0.05000000000000071;2.5;0;19;-0.0125
05.2004;1;3.399999999999999;0;1;0.2000000000000002;5.25;0;-0.1800000000000006;2.5;0;15.9;-0.01
06.2004;1;4;0;1.25;0.2999999999999998;5.75;-0.02500000000000002;-0.009999999999999786;2.5;0.475;16.5;0.01
07.2004;1;1.699999999999999;0;1.25;0.2000000000000002;6;-0.04999999999999999;0.01999999999999958;2.5;0.2;17.6;-0.01
08.2004;1;3.600000000000001;0;1.5;0.2300000000000004;6.5;-0.04999999999999999;0.05000000000000071;2.5;0.45;20;-0.0125
09.2004;1;-9.100000000000001;0;1.75;0.2699999999999996;6.5;0;0.04999999999999983;2.5;0;18.5;0
10.2004;1;-15.6;0;1.75;0.0996;6.5;0;-0.02000000000000046;2.5;0;14.8;0
11.2004;1;-30.5;0;2;0.0996;6.5;0;0.03000000000000025;2.5;0;12.4;-0.0125
12.2004;1;-30.5;0;2.25;0;6.5;0;-0.09999999999999965;2.5;0;12.4;-0.00625
01.2005;1;-14.8;0;2.25;0.0498;6.5;0;-0.08000000000000008;2.5;0;10.1;0
02.2005;1;-6.5;0;2.5;-0.0996;6.5;0;-0.1499999999999995;2.5;0;11.7;-0.01125
03.2005;1;-7.900000000000002;0;2.75;-0.3499999999999996;6;0.04999999999999999;-0.2299999999999995;2.5;-0.45;8.5;-0.01
04.2005;1;2;0;2.75;-0.3200000000000003;5.5;0;-0.2699999999999996;2.5;-0.5;10.5;0
05.2005;1;-4.099999999999998;0;3;-0.0498;5.5;0;-0.04999999999999983;2.5;0;12.1;0
06.2005;1;-3.899999999999999;0;3;-0.4500000000000002;5;0;-0.3399999999999999;2.5;-0.5;9.800000000000001;0
07.2005;1;-1.5;0;3.25;-0.2900000000000001;4.75;0.1;-0.2399999999999993;2.5;-0.15;11.8;0.0125
08.2005;1;3.199999999999999;0;3.5;-0.1500000000000003;4.5;0.1;-0.1300000000000008;2.5;-0.15;14.1;-0.01
09.2005;1;-0.6999999999999993;0;3.75;-0.0996;4.5;0;-0.0699999999999994;2.5;0;11.9;0
10.2005;1;-9.799999999999999;0;3.75;0;4.5;0;0.01000000000000067;2.5;0;10.3;0
11.2005;1;-15.3;0;4;0;4.5;0;0.01000000000000067;2.5;0;7.9;0
12.2005;1;-15.3;0.125;4.25;0.0196;4.5;0;-0.009999999999999786;2.5;0;7.9;0
01.2006;1;-7.899999999999999;0.125;4.5;-0.1799999999999997;4.25;0.07500000000000001;-0.2000000000000002;2.5;-0.175;9;0.00875
02.2006;1;8.099999999999998;0;4.5;-0.0596;4;0.1;-0.01999999999999958;2.5;-0.15;10.1;0.01125
03.2006;1;2.900000000000002;0.125;4.75;0.0899;4;0;0.08000000000000008;2.5;0;12.4;0
04.2006;1;6.600000000000001;0.125;4.75;0.07000000000000029;4;0;-0.009999999999999786;2.5;0;14.7;0.005
05.2006;1;5.700000000000002;0;5;0.0596;4;0;0.02000000000000046;2.5;0;16.5;0.00625
06.2006;1;2;0.125;5;0.04000000000000004;4;0;-0.05999999999999961;2.5;0;16.2;0
07.2006;1;0.4000000000000021;0.125;5.25;0.0596;4;0;-0.009999999999999786;2.5;0;16.7;0.01
08.2006;1;3.200000000000003;0.125;5.25;0.04000000000000004;4;0;-0.0600000000000005;2.5;0;16.8;0
09.2006;1;-0.1999999999999993;0.125;5.25;0.0996;4;0;0.08999999999999986;2.5;0;16.1;0
10.2006;1;-3.5;0.125;5.25;0.04000000000000004;4;0.1;-0.009999999999999786;2.5;0.1;16;0
11.2006;1;-8.699999999999999;0.125;5.25;0.03000000000000025;4;0.1;-0.03000000000000025;2.5;0.1;14.6;0.01125
12.2006;1;-8.699999999999999;0.125;5.25;0.0196;4;0.1111111111111111;0.009999999999999786;2.5;0.1111111111111111;14.6;0.005
01.2007;1;2.200000000000003;0.125;5.25;0.07000000000000029;4;0;0.07000000000000029;2.5;0;19.8;0.00125
02.2007;1;8;0;5.25;0.03000000000000025;4;0.075;-0.02000000000000046;2.5;0.075;21.5;0.00375
03.2007;1;10.6;0.125;5.25;0.04000000000000004;4;0.125;-0.009999999999999786;2.5;0.125;24.4;0.00125
04.2007;1;10.6;0.125;5.25;0.25;4.25;-0.1;0.1000000000000005;2.5;0.15;24.5;-0.0125
05.2007;1;-2.300000000000001;0;5.25;0.07000000000000029;4.25;0.1;0.09999999999999965;2.5;0.1;23.8;0.0125
06.2007;1;-5.699999999999999;0.125;5.25;0.21;4.5;-0.1;0.09999999999999965;2.5;0.15;24.1;0
07.2007;1;-2.5;0.125;5.25;0.1699999999999999;4.5;0.025;0.08000000000000008;2.5;0.025;22.9;0.01
08.2007;1;0.6999999999999993;0;5.25;0.21;4.75;-0.02499999999999999;0.1400000000000006;2.5;0.225;24.4;-0.0125
